# mail/lojban-list thread c80327b68ed2-no_subject | root 199308170406.aa00645@eli.cs.yale.edu | 1 messages | rendered by jbomohi mail-v1

=== 1 | 1993-08-17T04:03:09Z | Logical Language Group <lojbab@GREBYN.COM> | 199308170406.aa00645@eli.cs.yale.edu | mail/lojban-list/cur/745560189.c80327b68ed2c200.jbomohi:2,S
snacau  sound+without
ti'erbakfu      behind+bundle
ti'erbo'u       behind+bone
ti'erkansa      behind+with
ti'erpau        behind+part
ti'ertu'e       behind+leg
ti'esfe behind+surface
ti'icki suggest+explain
ti'ifla suggest+law
ti'ortai        shadow+shape
ti'otci shadow+tool
tibmli  obey+mild
tigdi'u perform+building
tigygusta       perform+restaurant
tigypre perform+person
tikygau adjust+do
tilcau  detail+without
tilmau  detail+more
tilsku  detail+express
tinju'i hear+attentive
tinsybu'u       stiff+cloth
tinsypelji      stiff+paper
tipyboi kick+ball
titnanba        sweet+bread
titselprami     sweet+2nd-place-of+love
to'acfa tone+initiate
to'arcurmi      tone+let
to'arkaigri     tone+quality+group
to'asti tone+cease
to'asto tone+constant
to'ercitnau     opposite-of-+young+man
to'ercitno      opposite-of-+young
to'ercumki      opposite-of-+possible
to'erdarsi      opposite-of-+audacity
to'erno'i       opposite-of-+noble
to'erpante      opposite-of-+protest
to'ersi'a       opposite-of-+esteem
to'erte'i       opposite-of-+specific
to'erte'igau    opposite-of-+specific+do
to'ervirnu      opposite-of-+brave
to'ezba opposite-of-+make
tocnunpe'i      try+event-of+meet
tocyca'a        try+apparatus
togdicra        tone+interrupt
toglerfu        tone+letteral
togra'ijmavra   tone+continue+foot+lever
togyci'e        tone+system
togycnesli      tone+vary+oscillate
togypra tone+produce
togysli tone+oscillate
togystikygau    tone+adjust+do
togytikpijne    tone+adjust+pin
togytikpijnyvau tone+adjust+pin+contain
togytikyke'a    tone+adjust+cavity
tolbanzu        opposite-of-+suffice
toldenmi        opposite-of-+dense
tolnindai       opposite-of-+new+object
tolprane        opposite-of-+perfect
toltiljvo       opposite-of-+detail+affix-compound
tolzau  opposite-of-+approve
tolzaupai       opposite-of-+approve+judge
torcrida        short+fairy
tordakyxa'i     short+knife+weapon
torga'axa'i     short+rod+weapon
tormau  short+more
tornunkruca     short+event-of+intersect
torselcusku     short+2nd-place-of+express
tortei  short+time
toryremna       short+human
trajynelci      superlative+fond
trajytroci      superlative+try
tramo'a behave+pattern
tranydro        nitrogen+hydrogen
tratygarna      taut+rail
tricyjamfu      tree+foot
tricyzbepi      tree+pedestal
triple  attract+paper
truci'e govern+system
trukamni        govern+committee
truspe  govern+married
trusragri       govern+support+group
trustizu        govern+chair
tsacinla        strong+thin
tsamau  strong+more
tsame'a strong+less
tsanybargu      sky+arch
tsanyxa'u       sky+dwell
tsarai  strong+superlative
tsejbi  sit+near
tsifai  seed+distribute
tsilitki        seed+liquid
tsipe'agau      seed+spread+do
tsise'a seed+insert
tsiselcigla     seed+2nd-place-of+gland
tsivi'i seed+excrete
tsubu'u thick+cloth
tsugrusi        thick+gray
tu'ucra tube+front
tumble  land+weak
tunbyti'u       sibling+daughter
tupcutci        leg+shoe
tupyga'u        leg+high
turdu'i structure+equal
tutske  territory+science
tutytu'a        territory+land
vajba'u important+utter
vajrai  important+superlative
vajyxu'a        important+assert
valgerna        word+grammar
valkei  word+play
valnunkei       word+event-of+play
valselkei       word+2nd-place-of+play
valsturygerna   word+structure+grammar
valtercu'a      word+3rd-place-of+choose
vampai  value+judge
vancysanmi      evening+meal
vanjba  wine+berry
varjenmi        air+army
varmuvmi'i      air+move+machine
varselclu       air+2nd-place-of+full
varsonci        air+soldier
vasnanba        contain+bread
vaurgau contain+do
vaxsakci        breathe+suck
vaxterje'e      breathe+3rd-place-of+jet
vaxtu'o breathe+swallow
vaxtu'upau      breathe+tube+part
vaxyba'u        breathe+utter
vaxyvikmi       breathe+excrete
ve'urnoi        sell+message
ve'usni sell+sign
ve'uzda sell+nest
vefsfa  revenge+punish
vefydji revenge+desire
veirci'a        record+write
velcradi        4th-place-of+radio
veljoicradi     4th-place-of+together-with+radio
velkemprema'e   4th-place-of+type-of+person+vehicle
velklali'i      4th-place-of+come+line
velma'ekla      4th-place-of+vehicle+come
velma'epre      4th-place-of+vehicle+person
velmirsna       4th-place-of+reflect+sound
velskicycau     4th-place-of+describe+without
venciksi        sell+explain
venskicu        sell+describe
vensyspa        spring+plant
venzmi  sell+automatic
verjipci        child+chicken
vi'ajmi see+understand
vi'ecpe guest+request
vibgle  vagina+copulate
viblitki        vagina+liquid
vibmolgle       vagina+mouth+copulate
vibypinji       vagina+penis
vibyselcigla    vagina+2nd-place-of+gland
vidnyveica'a    video+record+apparatus
vijyjatna       airplane+captain
vijysazri       airplane+operate
vilkla  violent+come
viltcima        violent+weather
vilyle'a        violent+take
vimku'a excrete+room
vipturni        deputy+govern
vipyjatna       deputy+captain
viska'e see+able
viska'eri'a     see+able+cause
viskli  see+clear
visnalka'eri'a  see+other-than-+able+cause
visydji see+desire
visyfacki       see+discover
visyvei see+record
vitnyji'e       permanent+live
vizyklo here-(at)+local
vizystu here-(at)+site
vlaba'i word+great
vlacku  word+book
vlaja'o word+show
vlali'i word+line
vlami'u word+same
vlaste  word+list
vlastodycku     word+constant+book
vlaxajmi        word+funny
vliki'a powerful+cry-out
vlikla  powerful+come
vlimau  powerful+more
voikla  flight+come
voirli'u        flight+travel
voirmabru       flight+mammal
voksnaske       voice+sound+science
voksylerfu      voice+letteral
voksysli        voice+oscillate
volcukla        flight+round
volfalnu        flight+sail
volgau  flight+do
volselkei       flight+2nd-place-of+play
vonmlatai       4+side+shape
vonpitytai      4+plane+shape
vonselmla       4+2nd-place-of+side
vonskosa'e      4+cord+stroke
vorstu  door+site
vrede'a reclining+wait
vresraki'e      reclining+support+cushion
vribanli        brave+great
vricyvipsi      miscellaneous+deputy
vrikla  brave+come
vrirai  brave+superlative
vrobi'u door+wall
vroca'o door+window
vrogai  door+cover
vrozu'i door+interfere
vrozu'itci      door+interfere+tool
vruca'a noise+apparatus
vrucau  noise+without
xa'argai        letter+cover
xa'arvau        letter+contain
xa'urjudri      dwell+address
xa'urvanbi      dwell+environment
xabdaplu        half+island
xabmapti        half+fit
xabminli        half+mile
xabnilganra     half+degree-of+broad
xabybumru       half+fog
xadbi'o body+become
xadmidju        body+middle
xadycarna       body+turn
xadycla body+long
xadykro body+bent
xadypau body+part
xadyplijvi      body+use+compete
xadytarmyxau    body+shape+good
xadyti'e        body+behind
xadyxai body+injure
xagmau  good+more
xagmaubi'o      good+more+become
xagmaugau       good+more+do
xagmaupai       good+more+judge
xagrai  good+superlative
xagri'a good+cause
xagysirji       good+straight
xagze'a good+increase
xajre'u pig+meat
xalbarja        alcohol+bar
xalbebna        alcohol+foolish
xalcro  alcohol+pain
xaldji  alcohol+desire
xalfenki        alcohol+crazy
xalgei  alcohol+happy
xalgusta        alcohol+restaurant
xalkai  alcohol+quality
xalnunvindu     alcohol+event-of+poison
xalpixydji      alcohol+drink+desire
xalsa'a alcohol+sing
xalsedycro      alcohol+head+pain
xalsipna        alcohol+sleep
xalsla  alcohol+celebrate
xalvamtu        alcohol+vomit
xalxre  alcohol+mixture
xamfinti        funny+invent
xamgau  funny+do
xamselfinti     funny+2nd-place-of+invent
xamyzu'e        funny+act
xanboi  hand+ball
xandakyxa'i     hand+knife+weapon
xandegji        hand+finger
xandegycalku    hand+finger+shell
xangle  hand+copulate
xanjanbe        hand+bell
xantamji        hand+thumb
xanterjo'e      hand+3rd-place-of+joined
xantydenmai     elephant+tooth+material
xanzunto'a      hand+interfere+tone
xarpre  imaginary+person
xasklama        sea+come
xaskoi  sea+edge
xaslycmo        donkey+moan
xasxelkla       sea+5th-place-of+come
xasydanlu       sea+animal
xasymabru       sea+mammal
xasyspa sea+plant
xaufri  good+experience
xaujdi  good+decide
xaupre  good+person
xaurfunca       good+luck
xaurka'e        good+able
xaurpai good+judge
xaurtoi good+try
xavycte 6+night
xavyselmla      6+2nd-place-of+side
xavyto'a        6+tone
xe'irselkre     black+2nd-place-of+hair
xejyjipno       jaw+tip
xejykoi jaw+edge
xejykre jaw+hair
xekli'i black+line
xekli'ikai      black+line+quality
xekryblabi      black+white
xekselskapi     black+2nd-place-of+pelt
xelbe'iple      5th-place-of+transfer+paper
xernunba'u      regret+event-of+utter
xerselfriti     regret+2nd-place-of+offer
xervla  regret+word
xesxei  Greek+hate
xesygu'e        Greek+country
xingu'e Hindi+country
xirkla  horse+come
xirmycmo        horse+moan
xirno'i horse+noble
xismalsi        Christian+temple
xisyctu Christian+teach
xlabu'u bad+cloth
xlafunca        bad+luck
xlapre  bad+person
xlari'a bad+cause
xlatcima        bad+weather
xleserti        canal+stairs
xluga'i influence+modify
xrakarni        picture+journal
xrare'o picture+throw
xrube'i return+transfer
xrucpa  return+get
xrufle  return+flow
xrukla  return+come
xu'acmu assert+basis
xu'apli assert+use
xukske  turkey+science
xumsne  chemical+dream
xunkrexli       red+hair+girl
xusnoi  assert+message
xusyvei assert+record
zaglamtu'e      buttock+adjacent+leg
zajyctu gymnast+teach
zalre'u grind+meat
zaltapla        grind+tile
zanfri  favorable+experience
zanmupli        favorable+example
zarki'a approve+cry-out
zasmo'isro      temporary+remember+store
zasyspo temporary+destroy
zasysti temporary+cease
zatsta  exist+remain
zausku  approve+express
zbaseljmina     make+2nd-place-of+add
zbaske  make+science
zbaveljmina     make+4th-place-of+add
zberokci        pedestal+rock
zdabartu        nest+out
zdacravro       nest+front+door
zdadi'u nest+building
zdaku'i nest+take-care-of
zdamu'e nest+universe
zdane'i nest+in
zdasazri        nest+operate
zdaspe  nest+married
zdasta  nest+remain
zdatutra        nest+territory
zdaxru  nest+return
zdidabysnu      amusing+fight+discuss
zdifanza        amusing+annoy
zdilisri        amusing+story
zenri'a increase+cause
zergau  crime+do
zerle'a crime+take
zernerkla       crime+in+come
zerxai  crime+injure
zerxaigau       crime+injure+do
zgatirna        observe+hear
zgica'a music+apparatus
zgifasnu        music+event
zgifi'i music+invent
zgijevyxajmi    music+and+funny
zgikabri        music+cup
zgikalsa        music+chaotic
zgikyfinti      music+invent
zgipi'o music+piano
zgiselsku       music+2nd-place-of+express
zgisku  music+express
zgisrica'a      music+ribbon+apparatus
zifri'a free+cause
zirjbo  purple+Lojbanic
zmadji  more+desire
zmanei  more+fond
zmapluka        more+pleasant
zmari'a more+cause
zmitra  automatic+behave
zmutu'a maize+land
zu'edji act+desire
zulxance        left+hand
zunsna  interfere+sound
zutkansa        sit+with
zutlamji        sit+adjacent
zvaju'o at+know
zvakansa        at+with
zvapre  at+person


